customer_id,age,gender,marital_status,household_size,education_level,occupation,income_level,location,state,country,proximity_to_branch,transaction_frequency,transaction_volume,transaction_type,atm_usage_patterns,online_banking_activity,channel_preferences,customer_service_interactions,product_engagement,savings_balance,checking_balance,investment_balance,credit_card_usage,loan_history,loan_repayment_behavior,investment_portfolio,credit_score,attitudes_towards_banking,financial_goals,risk_tolerance,spending_habits,interests_hobbies,customer_satisfaction_score,net_promoter_score,loyalty_program_participation,cross_selling_response_rate,inflation_rate,gdp_growth,social_media_behavior,online_shopping_habits,digital_engagement,major_life_events,significant_financial_milestones,survey_responses,preferred_communication_channels,product_feature_requests,risk_assessment_data,credit_risk_indicators
1,58,Female,Divorced,1,College,Employed,High,Suburban,IL,USA,Moderate,16,4206.340823,Withdrawal,Frequent,Low,Mobile App,Medium,No,13368.17541,13061.09545,97915.05482,15169.31613,None,Good,Moderate,564,Neutral,Retirement Planning,Medium,Conservative,Travel,4,7,Yes,0.966555023,4.420679739,3.49800992,Moderate,Frequent,Low,None,Starting a Business,Negative,Phone,No,High Risk,Stable
2,48,Male,Single,5,High School,Unemployed,Medium,Suburban,FL,UK,Close,4,7445.147601,Deposit,Occasional,Medium,Mobile App,Medium,Yes,39156.26218,11120.34283,77952.30138,12953.24219,Personal Loan,Poor,Aggressive,512,Negative,Wealth Accumulation,Low,Spender,Reading,3,0,Yes,0.027013223,0.698562805,3.376007483,Moderate,Frequent,High,Birth of a Child,None,Neutral,Phone,No,Medium Risk,High Risk
3,34,Female,Married,4,Bachelor,Employed,High,Suburban,CA,Australia,Moderate,20,4128.995685,Deposit,Frequent,Low,Website,Medium,No,14904.16134,9869.701217,80841.59662,12899.97713,Personal Loan,Poor,Aggressive,796,Negative,Education Funding,Medium,Moderate,Music,2,7,Yes,0.396694502,2.606721384,0.339508535,Moderate,Occasional,Low,None,Buying a House,Neutral,Email,No,Low Risk,Warning
4,62,Male,Single,5,PhD,Employed,Medium,Rural,IL,Canada,Far,29,7941.829992,Transfer,Frequent,Medium,Website,Medium,Yes,17862.10131,3767.652504,8795.70734,4396.918043,Personal Loan,Poor,Conservative,312,Positive,Wealth Accumulation,Medium,Spender,Cooking,2,2,No,0.297796535,2.791209036,4.580437446,Moderate,Occasional,Low,Retirement,None,Positive,Mail,No,Low Risk,Stable
5,27,Female,Single,5,High School,Unemployed,High,Suburban,NY,Canada,Close,3,1901.265158,Purchase,Occasional,High,Website,High,Yes,47103.14977,7941.732014,98412.93116,10161.21851,Personal Loan,Average,Moderate,700,Negative,Retirement Planning,Medium,Moderate,Reading,4,0,No,0.877237698,0.428085662,0.409595001,Low,Frequent,High,Marriage,None,Positive,Mail,Yes,Medium Risk,High Risk
6,40,Female,Single,3,Bachelor,Self-employed,High,Rural,TX,USA,Close,13,1609.921861,Withdrawal,Rare,Low,Branch,High,Yes,22893.03133,15836.07278,51676.16778,14253.71889,Personal Loan,Good,Conservative,832,Positive,Education Funding,Medium,Spender,Music,4,1,Yes,0.889679207,1.048707746,2.308850145,Low,Occasional,Low,Marriage,None,Negative,SMS,Yes,Medium Risk,High Risk
7,58,Male,Married,2,Master,Employed,High,Suburban,NY,Canada,Far,24,871.6120025,Purchase,Frequent,Low,Mobile App,Low,Yes,26127.03407,10470.93169,86221.97788,9446.874287,Personal Loan,Average,Conservative,662,Positive,Retirement Planning,Low,Moderate,Music,3,0,No,0.306590818,0.796425899,1.75381693,Low,Frequent,Low,None,None,Negative,Mail,No,Medium Risk,High Risk
8,38,Female,Widowed,2,College,Student,Low,Rural,TX,UK,Close,24,2493.882793,Purchase,Occasional,Low,Mobile App,High,No,46810.71199,8244.479239,83733.93892,17685.8843,Mortgage,Poor,Moderate,417,Negative,Education Funding,Low,Spender,Sports,4,5,Yes,0.870728156,4.802603641,3.451460435,Active,Occasional,Medium,Birth of a Child,None,Neutral,SMS,Yes,Low Risk,High Risk
9,42,Male,Divorced,4,High School,Self-employed,Low,Rural,NY,UK,Close,16,1548.530698,Purchase,Frequent,High,Mobile App,Medium,Yes,47414.43324,9075.08378,68975.03695,5143.74337,None,Average,Moderate,478,Negative,Education Funding,Low,Spender,Music,1,1,No,0.623254033,1.187604671,0.392160668,Active,Frequent,Low,Marriage,None,Neutral,SMS,No,Medium Risk,High Risk
10,30,Male,Divorced,5,PhD,Student,High,Suburban,TX,USA,Close,4,8006.549593,Deposit,Frequent,High,Website,Medium,Yes,17145.85815,18103.16408,64369.29529,7754.703675,None,Poor,Conservative,526,Neutral,Retirement Planning,Low,Spender,Sports,1,7,No,0.387683795,0.071587642,4.752059263,Low,Rare,Medium,None,Buying a House,Negative,SMS,No,Medium Risk,Warning
